"x","y","GID","200w_3C"
-82.2916835,39.62500039,63922,-2.3578929901123
-82.2916835,39.70833372,63923,-2.30642557144165
-82.2916835,39.79166705,63924,-2.25341939926147
-82.2916835,39.87500038,63925,-2.19887447357178
-82.2916835,39.95833371,63926,-2.14432954788208
-82.2916835,40.04166704,63927,-2.08204030990601
-82.2916835,40.12500037,63928,-2.01200699806213
-82.2916835,40.2083337,63929,-1.94197344779968
-82.2916835,40.29166703,63930,-1.86387324333191
-82.2916835,40.37500036,63931,-1.77770638465881
-82.2916835,40.45833369,63932,-1.69153964519501
-82.2916835,40.54166702,63933,-1.63049483299255
-82.2916835,40.62500035,63934,-1.59457159042358
-82.2916835,40.70833368,63935,-1.55864834785461
-82.2916835,40.79166701,63936,-1.55222964286804
-82.2916835,40.87500034,63937,-1.57531487941742
-82.2916835,40.95833367,63938,-1.5984001159668
-82.2916835,41.041667,63939,-1.5995979309082
-82.2916835,41.12500033,63940,-1.57890868186951
-82.2916835,41.20833366,63941,-1.5582195520401
-82.2916835,41.29166699,63942,-1.49976396560669
-82.2083502,27.29166755,63943,-9.56533050537109
-82.2083502,27.37500088,63944,-9.5098180770874
-82.2083502,27.45833421,63945,-9.45430564880371
-82.2083502,27.54166754,63946,-9.38908767700195
-82.2083502,27.62500087,63947,-9.31416511535645
-82.2083502,27.7083342,63948,-9.23924160003662
-82.2083502,27.79166753,63949,-9.16018295288086
-82.2083502,27.87500086,63950,-9.07698917388916
-82.2083502,27.95833419,63951,-8.99379444122314
-82.2083502,28.04166752,63952,-8.97288227081299
-82.2083502,28.12500085,63953,-9.01424789428711
-82.2083502,28.20833418,63954,-9.05561447143555
-82.2083502,28.29166751,63955,-9.03983688354492
-82.2083502,28.37500084,63956,-8.96691799163818
-82.2083502,28.45833417,63957,-8.89399909973145
-82.2083502,28.62500083,63958,-8.93037986755371
-82.2083502,29.04166748,63959,-8.72784614562988
-82.2083502,29.12500081,63960,-8.62628555297852
-82.2083502,29.20833414,63961,-8.52472496032715
-82.2083502,29.29166747,63962,-8.41383457183838
-82.2083502,29.3750008,63963,-8.29361724853516
-82.2083502,29.45833413,63964,-8.17339897155762
-82.2083502,29.54166746,63965,-8.07175540924072
-82.2083502,29.62500079,63966,-7.98868560791016
-82.2083502,29.70833412,63967,-7.90561532974243
-82.2083502,29.79166745,63968,-7.83823537826538
-82.2083502,29.95833411,63969,-7.73485565185547
-82.2083502,30.04166744,63970,-7.70483112335205
-82.2083502,30.12500077,63971,-7.69647121429443
-82.2083502,30.2083341,63972,-7.68811130523682
-82.2083502,30.29166743,63973,-7.70663642883301
-82.2083502,30.37500076,63974,-7.75204515457153
-82.2083502,30.45833409,63975,-7.7974534034729
-82.2083502,31.12500073,63976,-7.68857955932617
-82.2083502,31.20833406,63977,-7.71138906478882
-82.2083502,31.29166739,63978,-7.71692228317261
-82.2083502,31.37500072,63979,-7.70517921447754
-82.2083502,31.45833405,63980,-7.69343614578247
-82.2083502,31.54166738,63981,-7.67521858215332
-82.2083502,31.62500071,63982,-7.65052700042725
-82.2083502,31.70833404,63983,-7.62583541870117
-82.2083502,31.79166737,63984,-7.60645580291748
-82.2083502,31.8750007,63985,-7.59238767623901
-82.2083502,31.95833403,63986,-7.57831954956055
-82.2083502,32.04166736,63987,-7.54790306091309
-82.2083502,32.12500069,63988,-7.50113773345947
-82.2083502,32.20833402,63989,-7.45437240600586
-82.2083502,32.29166735,63990,-7.38779354095459
-82.2083502,32.37500068,63991,-7.30140161514282
-82.2083502,32.45833401,63992,-7.2150092124939
-82.2083502,32.54166734,63993,-7.13771963119507
-82.2083502,32.62500067,63994,-7.06953144073486
-82.2083502,32.708334,63995,-7.00134325027466
-82.2083502,32.79166733,63996,-6.94171047210693
-82.2083502,32.87500066,63997,-6.89063262939453
-82.2083502,32.95833399,63998,-6.83955526351929
-82.2083502,33.04166732,63999,-6.77163648605347
-82.2083502,33.12500065,64000,-6.68687772750854
-82.2083502,33.20833398,64001,-6.60211896896362
-82.2083502,33.29166731,64002,-6.52719306945801
-82.2083502,33.37500064,64003,-6.46209859848022
-82.2083502,33.45833397,64004,-6.3970046043396
-82.2083502,33.5416673,64005,-6.32326316833496
-82.2083502,33.70833396,64006,-6.1584849357605
-82.2083502,33.79166729,64007,-6.06824064254761
-82.2083502,33.87500062,64008,-5.97014284133911
-82.2083502,34.12500061,64009,-5.64441537857056
-82.2083502,34.20833394,64010,-5.52536201477051
-82.2083502,34.3750006,64011,-5.23296546936035
-82.2083502,34.45833393,64012,-5.07771873474121
-82.2083502,34.54166726,64013,-4.92120599746704
-82.2083502,34.62500059,64014,-4.76342821121216
-82.2083502,34.70833392,64015,-4.60564994812012
-82.2083502,34.79166725,64016,-4.39954090118408
-82.2083502,35.04166724,64017,-3.54464411735535
-82.2083502,35.12500057,64018,-3.10704612731934
-82.2083502,35.2083339,64019,-2.66944789886475
-82.2083502,35.29166723,64020,-2.30289745330811
-82.2083502,35.54166722,64021,-1.43466663360596
-82.2083502,35.62500055,64022,-1.17572593688965
-82.2083502,35.95833387,64023,-0.47033903002739
-82.2083502,36.0416672,64024,-0.460984110832214
-82.2083502,36.29166719,64025,-0.832503020763397
-82.2083502,36.37500052,64026,-1.03515076637268
-82.2083502,36.45833385,64027,-1.23779845237732
-82.2083502,36.54166718,64028,-1.32683825492859
-82.2083502,36.62500051,64029,-1.30227291584015
-82.2083502,36.70833384,64030,-1.27770757675171
-82.2083502,36.79166717,64031,-1.23082804679871
-82.2083502,37.29166715,64032,-1.63780176639557
-82.2083502,37.37500048,64033,-1.87844049930573
-82.2083502,37.45833381,64034,-2.11907911300659
-82.2083502,37.54166714,64035,-2.27504348754883
-82.2083502,37.62500047,64036,-2.3463351726532
-82.2083502,37.7083338,64037,-2.41762709617615
-82.2083502,37.79166713,64038,-2.50440669059753
-82.2083502,37.87500046,64039,-2.60667371749878
-82.2083502,37.95833379,64040,-2.70894074440002
-82.2083502,38.04166712,64041,-2.82152152061462
-82.2083502,38.12500045,64042,-2.944415807724
-82.2083502,38.20833378,64043,-3.06731033325195
-82.2083502,38.29166711,64044,-3.15580558776855
-82.2083502,38.37500044,64045,-3.20990252494812
-82.2083502,38.45833377,64046,-3.26399946212769
-82.2083502,38.5416671,64047,-3.2812283039093
-82.2083502,38.62500043,64048,-3.26159000396729
-82.2083502,38.70833376,64049,-3.24195146560669
-82.2083502,38.79166709,64050,-3.20474767684937
-82.2083502,38.87500042,64051,-3.14997911453247
-82.2083502,38.95833375,64052,-3.095210313797
-82.2083502,39.04166708,64053,-3.01948738098145
